
---------- Begin Simulation Statistics ----------
simSeconds                                   0.060654                       # Number of seconds simulated (Second)
simTicks                                  60654272000                       # Number of ticks simulated (Tick)
finalTick                                 60654272000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    290.78                       # Real time elapsed on the host (Second)
hostTickRate                                208594967                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16961252                       # Number of bytes of host memory used (Byte)
simInsts                                    140591068                       # Number of instructions simulated (Count)
simOps                                      140648803                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   483504                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     483702                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         60654274                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.431423                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.317909                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       162894148                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  1365792                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      154798379                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 409500                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             23611136                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          15188300                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              247325                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            60632349                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.553066                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.712150                       # Number of insts issued each cycle (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdConfig            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total      154798379                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         2.552143                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                            10933477                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.070630                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                376084945                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites               184739321                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses       150002948                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                   5487139                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                  3151547                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses          2573511                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                   161847637                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                      2881233                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                   1692236                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                             497                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           21925                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads       18054888                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores      13160859                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads      2977367                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores      1942591                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups_0::NoBranch            0      0.00%      0.00% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::Return       2163891      6.95%      6.95% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::CallDirect      2115978      6.80%     13.75% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::CallIndirect       105780      0.34%     14.09% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::DirectCond     23557863     75.68%     89.76% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::DirectUncond      3059225      9.83%     99.59% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::IndirectCond            0      0.00%     99.59% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::IndirectUncond       127541      0.41%    100.00% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::total       31130278                       # Number of BP lookups (Count)
system.cpu.branchPred.squashes_0::NoBranch            0      0.00%      0.00% # Number of branches that got squashed (completely removed) as an earlier branch was mispredicted. (Count)
system.cpu.branchPred.squashes_0::Return       679396      6.59%      6.59% # Number of branches that got squashed (completely removed) as an earlier branch was mispredicted. (Count)
system.cpu.branchPred.squashes_0::CallDirect       697035      6.77%     13.36% # Number of branches that got squashed (completely removed) as an earlier branch was mispredicted. (Count)
system.cpu.branchPred.squashes_0::CallIndirect        40223      0.39%     13.75% # Number of branches that got squashed (completely removed) as an earlier branch was mispredicted. (Count)
system.cpu.branchPred.squashes_0::DirectCond      7730847     75.04%     88.79% # Number of branches that got squashed (completely removed) as an earlier branch was mispredicted. (Count)
system.cpu.branchPred.squashes_0::DirectUncond      1128528     10.95%     99.75% # Number of branches that got squashed (completely removed) as an earlier branch was mispredicted. (Count)
system.cpu.branchPred.squashes_0::IndirectCond            0      0.00%     99.75% # Number of branches that got squashed (completely removed) as an earlier branch was mispredicted. (Count)
system.cpu.branchPred.squashes_0::IndirectUncond        26143      0.25%    100.00% # Number of branches that got squashed (completely removed) as an earlier branch was mispredicted. (Count)
system.cpu.branchPred.squashes_0::total      10302172                       # Number of branches that got squashed (completely removed) as an earlier branch was mispredicted. (Count)
system.cpu.branchPred.corrected_0::NoBranch            0      0.00%      0.00% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
